,아프간 하운드_1,아프간 하운드_2,아프간 하운드_3,아프간 하운드_4,아프간 하운드_5,아프간 하운드_6,아프간 하운드_7,아프간 하운드_8,아프간 하운드_9,아프간 하운드_10,아프간 하운드_11,아프간 하운드_12,아프간 하운드_13,아프간 하운드_14,아프간 하운드_15,아프간 하운드_16,아프간 하운드_17,아프간 하운드_18,아프간 하운드_19,아프간 하운드_20
Grass,99.3212661743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,99.3212661743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,92.95196533203125,90.47599029541016,0.0,99.65223693847656,99.90847778320312,99.85301971435547,99.939453125,99.85033416748047,99.93155670166016,93.77748107910156,99.93893432617188,94.96414947509766,99.96647644042969,99.91072845458984,99.97142791748047,99.43011474609375,99.84254455566406,99.0603256225586,99.91808319091797,99.9563980102539
Mammal,92.3243408203125,90.47599029541016,0.0,99.65223693847656,99.90847778320312,99.85301971435547,99.939453125,99.85033416748047,99.93155670166016,92.48359680175781,99.93893432617188,94.96414947509766,99.96647644042969,99.91072845458984,99.97142791748047,99.43011474609375,99.84254455566406,99.0603256225586,99.91808319091797,99.9563980102539
Canine,90.61722564697266,90.47599029541016,0.0,99.65223693847656,99.90847778320312,99.85301971435547,99.939453125,99.85033416748047,99.93155670166016,92.48359680175781,99.93893432617188,94.96414947509766,99.96647644042969,99.91072845458984,99.97142791748047,99.43011474609375,99.84254455566406,99.0603256225586,99.91808319091797,99.9563980102539
Pet,89.58515930175781,89.06198120117188,0.0,99.65223693847656,99.90847778320312,99.85301971435547,99.939453125,99.85033416748047,99.93155670166016,91.78759002685547,99.93893432617188,94.96414947509766,99.96647644042969,99.91072845458984,99.97142791748047,99.43011474609375,99.84254455566406,99.0603256225586,99.91808319091797,99.9563980102539
Dog,87.90562438964844,89.06198120117188,0.0,99.65223693847656,99.90847778320312,99.85301971435547,99.939453125,99.85033416748047,99.93155670166016,91.78759002685547,99.93893432617188,94.96414947509766,99.96647644042969,99.91072845458984,99.97142791748047,99.43011474609375,99.84254455566406,99.0603256225586,99.91808319091797,99.9563980102539
Great Dane,87.2516098022461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,62.05525207519531,0.0,0.0,99.10992431640625,99.90847778320312,99.85301971435547,99.939453125,99.85033416748047,99.93155670166016,66.68643951416016,99.93893432617188,0.0,99.96647644042969,99.91072845458984,99.97142791748047,99.43011474609375,99.38748168945312,99.0603256225586,99.91808319091797,99.9563980102539
Green,61.114898681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,60.821529388427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,60.59169006347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antelope,60.59169006347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,59.479942321777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,56.57111740112305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75019073486328,0.0,94.96414947509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,99.39810180664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.49633026123047
Water,0.0,0.0,99.39810180664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swimming,0.0,0.0,99.39810180664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,99.39810180664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,99.39810180664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.49633026123047
Sports,0.0,0.0,99.39810180664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,94.04656219482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,90.772705078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,67.06596374511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diving,0.0,0.0,60.60386657714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diver,0.0,0.0,60.60386657714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sculpture,0.0,0.0,58.65267562866211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,58.65267562866211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.51036071777344,0.0
Statue,0.0,0.0,58.65267562866211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,56.90022277832031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
