,피니시 스피츠_1,피니시 스피츠_2,피니시 스피츠_3,피니시 스피츠_4,피니시 스피츠_5,피니시 스피츠_6,피니시 스피츠_7,피니시 스피츠_8,피니시 스피츠_9,피니시 스피츠_10,피니시 스피츠_11,피니시 스피츠_12,피니시 스피츠_13,피니시 스피츠_14,피니시 스피츠_15,피니시 스피츠_16,피니시 스피츠_17,피니시 스피츠_18,피니시 스피츠_19,피니시 스피츠_20
Nature,98.88587188720703,70.50957489013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,98.88587188720703,70.50957489013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.141502380371094,0.0,0.0
Snowman,98.88587188720703,70.50957489013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,98.88587188720703,70.50957489013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,98.88587188720703,70.50957489013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,92.86930084228516,97.42928314208984,95.72708892822266,96.6439437866211,92.92737579345703,96.9751205444336,86.94456481933594,95.62904357910156,95.97930145263672,97.47917175292969,99.04728698730469,98.46696472167969,96.23704528808594,95.47785949707031,96.32661437988281,92.1487808227539,74.76595306396484,90.62071228027344,87.4530029296875,89.59879302978516
Canine,92.86930084228516,97.42928314208984,95.72708892822266,96.6439437866211,92.92737579345703,96.9751205444336,82.17292785644531,95.62904357910156,95.97930145263672,97.47917175292969,99.04728698730469,98.46696472167969,96.23704528808594,95.47785949707031,96.32661437988281,92.1487808227539,74.76595306396484,90.62071228027344,87.4530029296875,88.30448150634766
Animal,92.86930084228516,97.42928314208984,95.72708892822266,96.6439437866211,92.92737579345703,97.48104858398438,86.94456481933594,95.62904357910156,95.97930145263672,97.47917175292969,99.04728698730469,98.46696472167969,96.23704528808594,95.47785949707031,96.32661437988281,92.1487808227539,77.48339080810547,90.62071228027344,87.4530029296875,89.7763671875
Pet,90.68682861328125,97.42928314208984,94.11375427246094,96.6439437866211,92.14692687988281,97.48104858398438,79.15923309326172,95.58953094482422,95.97930145263672,97.47917175292969,99.04728698730469,98.46696472167969,96.23704528808594,92.48162841796875,95.84396362304688,78.16435241699219,73.04367065429688,90.02023315429688,85.4517593383789,78.1018295288086
Dog,89.85150909423828,97.42928314208984,94.11375427246094,96.6439437866211,92.14692687988281,96.9751205444336,79.15923309326172,95.58953094482422,95.97930145263672,97.47917175292969,99.04728698730469,98.46696472167969,96.23704528808594,91.81990814208984,94.59591674804688,76.72935485839844,0.0,89.76580047607422,85.4517593383789,77.09356689453125
