,마스티프_1,마스티프_2,마스티프_3,마스티프_4,마스티프_5,마스티프_6,마스티프_7,마스티프_8,마스티프_9,마스티프_10,마스티프_11,마스티프_12,마스티프_13,마스티프_14,마스티프_15,마스티프_16,마스티프_17,마스티프_18,마스티프_19,마스티프_20
Person,99.66033935546875,0.0,0.0,97.88683319091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.52516174316406,0.0,96.96197509765625,0.0,99.60313415527344,0.0,0.0,0.0
Human,99.66033935546875,0.0,0.0,97.88683319091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.52516174316406,0.0,96.96197509765625,0.0,99.60313415527344,0.0,0.0,0.0
Animal,94.5096435546875,93.68865203857422,93.43317413330078,96.9902572631836,95.56977844238281,95.48214721679688,95.59290313720703,97.2902603149414,95.74327850341797,98.5491714477539,94.96875,92.89395904541016,92.33155059814453,99.39471435546875,63.22824478149414,94.85321807861328,82.84956359863281,92.85847473144531,93.57084655761719,90.5828628540039
Pants,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.05750274658203,0.0,0.0,0.0,0.0,0.0
Clothing,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.05750274658203,0.0,0.0,0.0,0.0,0.0
Canine,91.41436004638672,84.0595703125,91.60055541992188,96.9902572631836,95.56977844238281,95.48214721679688,95.59290313720703,97.2902603149414,95.74327850341797,98.5491714477539,79.0572509765625,90.99494934082031,0.0,99.39471435546875,61.67565155029297,94.85321807861328,57.40094757080078,92.85847473144531,93.57084655761719,88.58983612060547
Mammal,91.41436004638672,91.8042984008789,93.43317413330078,96.9902572631836,95.56977844238281,95.48214721679688,95.59290313720703,97.2902603149414,95.74327850341797,98.5491714477539,94.76873779296875,92.89395904541016,92.33155059814453,99.39471435546875,63.22824478149414,94.85321807861328,82.84956359863281,92.85847473144531,93.57084655761719,88.58983612060547
Pet,87.57897186279297,0.0,87.7242202758789,96.9902572631836,95.56977844238281,95.48214721679688,95.59290313720703,97.2902603149414,95.74327850341797,98.5491714477539,76.32616424560547,90.99494934082031,0.0,99.39471435546875,56.75223922729492,94.07294464111328,0.0,92.85847473144531,92.111572265625,90.5828628540039
Dog,73.39082336425781,0.0,87.7242202758789,96.9902572631836,95.56977844238281,95.48214721679688,95.59290313720703,97.2902603149414,95.74327850341797,98.5491714477539,76.32616424560547,90.99494934082031,0.0,99.39471435546875,0.0,94.07294464111328,0.0,92.85847473144531,92.02584838867188,88.58983612060547
Hound,73.39082336425781,0.0,67.07505798339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,62.889530181884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,55.30937957763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
