,아메리칸 에스키모 도그_1,아메리칸 에스키모 도그_2,아메리칸 에스키모 도그_3,아메리칸 에스키모 도그_4,아메리칸 에스키모 도그_5,아메리칸 에스키모 도그_6,아메리칸 에스키모 도그_7,아메리칸 에스키모 도그_8,아메리칸 에스키모 도그_9,아메리칸 에스키모 도그_10,아메리칸 에스키모 도그_11,아메리칸 에스키모 도그_12,아메리칸 에스키모 도그_13,아메리칸 에스키모 도그_14,아메리칸 에스키모 도그_15,아메리칸 에스키모 도그_16,아메리칸 에스키모 도그_17,아메리칸 에스키모 도그_18,아메리칸 에스키모 도그_19,아메리칸 에스키모 도그_20
Word,96.25794982910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,88.9477310180664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,76.0997543334961,90.4759292602539,95.72708129882812,95.43494415283203,95.32781982421875,91.60306549072266,96.43885803222656,95.61468505859375,96.32661437988281,96.23704528808594,96.82231903076172,93.81279754638672,91.09719848632812,0.0,96.31298828125,95.93125915527344,97.66664123535156,93.32872772216797,96.5055160522461,84.863525390625
Canine,75.75970458984375,90.4759292602539,95.72708129882812,95.22966003417969,95.32781982421875,91.06050872802734,96.1312484741211,95.61468505859375,96.32661437988281,96.23704528808594,96.82231903076172,93.7607650756836,91.09719848632812,0.0,96.17250061035156,95.93125915527344,97.66664123535156,93.32872772216797,96.38163757324219,84.863525390625
Mammal,75.75970458984375,90.4759292602539,95.72708129882812,95.22966003417969,95.32781982421875,91.06050872802734,96.1312484741211,95.61468505859375,96.32661437988281,96.23704528808594,96.82231903076172,93.7607650756836,91.09719848632812,0.0,96.17250061035156,95.93125915527344,97.66664123535156,93.32872772216797,96.38163757324219,84.863525390625
Pet,73.49170684814453,89.06195068359375,94.11372375488281,95.43494415283203,94.83309936523438,91.60306549072266,96.43885803222656,94.15010833740234,95.84396362304688,96.23704528808594,94.45977783203125,93.81279754638672,90.0522689819336,0.0,96.31298828125,95.46687316894531,97.48015594482422,93.2627182006836,96.5055160522461,84.37959289550781
Person,72.68274688720703,0.0,0.0,0.0,0.0,67.85087585449219,0.0,0.0,0.0,0.0,61.26528549194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.01190948486328,97.33834838867188
Human,72.68274688720703,0.0,0.0,0.0,0.0,67.85087585449219,0.0,0.0,0.0,0.0,61.26528549194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.01190948486328,97.33834838867188
Crowd,67.62139892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bull,67.1588363647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,67.1588363647461,89.06195068359375,94.11372375488281,95.005615234375,94.83309936523438,75.6514892578125,95.34980773925781,93.38189697265625,94.59591674804688,96.23704528808594,88.41664123535156,93.23452758789062,90.0522689819336,0.0,95.66783142089844,95.16874694824219,97.39851379394531,93.2627182006836,89.36414337158203,67.9898681640625
Bulldog,67.1588363647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,59.76441192626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0522689819336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,59.47993850708008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,56.571449279785156,63.03532028198242,0.0,0.0,0.0,0.0,0.0,0.0,96.23704528808594,0.0,0.0,70.76844024658203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,78.52973175048828,89.76176452636719,84.85002136230469,75.6514892578125,92.51826477050781,89.8036880493164,78.55814361572266,61.23329162597656,88.41664123535156,76.7601318359375,0.0,0.0,88.37124633789062,86.18209838867188,90.75179290771484,62.75059509277344,89.36414337158203,67.9898681640625
Cat,0.0,0.0,0.0,66.20137023925781,87.71520233154297,0.0,67.919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,58.26029586791992,0.0,0.0,0.0,85.70431518554688,0.0,57.85809326171875,85.58395385742188,0.0,0.0,0.0,0.0,79.56867980957031,93.2627182006836,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.58088684082031,0.0,0.0,0.0,62.93586349487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0971908569336
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.58088684082031,0.0,0.0,0.0,62.93586349487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0971908569336
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.58088684082031,0.0,0.0,0.0,62.93586349487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0971908569336
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.58088684082031,0.0,0.0,0.0,62.93586349487305,62.963985443115234,0.0,0.0,0.0,0.0,0.0,0.0,78.0971908569336
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.58088684082031,0.0,0.0,0.0,62.93586349487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0971908569336
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.762474060058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.71852111816406,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6942138671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
