,스카이 테리어_1,스카이 테리어_2,스카이 테리어_3,스카이 테리어_4,스카이 테리어_5,스카이 테리어_6,스카이 테리어_7,스카이 테리어_8,스카이 테리어_9,스카이 테리어_10,스카이 테리어_11,스카이 테리어_12,스카이 테리어_13,스카이 테리어_14,스카이 테리어_15,스카이 테리어_16,스카이 테리어_17,스카이 테리어_18,스카이 테리어_19,스카이 테리어_20
Animal,91.00993347167969,94.16244506835938,95.21717071533203,93.00161743164062,99.47684478759766,97.378662109375,93.18290710449219,93.92963409423828,87.69747924804688,90.32711029052734,90.5871810913086,92.91451263427734,95.27540588378906,93.84614562988281,93.15943145751953,96.26356506347656,92.3816909790039,91.09719848632812,98.73143768310547,97.5729751586914
Pet,90.90815734863281,85.53565979003906,95.21717071533203,92.11901092529297,92.66276550292969,97.378662109375,92.92863464355469,93.4601058959961,87.63982391357422,90.32711029052734,90.5871810913086,92.18026733398438,94.25601959228516,92.79828643798828,92.77708435058594,93.061767578125,92.3816909790039,90.0522689819336,98.73143768310547,97.5729751586914
Canine,90.55077362060547,87.25010681152344,93.99748992919922,93.00161743164062,92.74883270263672,97.378662109375,92.90814208984375,93.59938049316406,87.69747924804688,88.52914428710938,90.56319427490234,92.91451263427734,95.27540588378906,93.84614562988281,93.15943145751953,94.20165252685547,92.3816909790039,91.09719848632812,98.73143768310547,97.5729751586914
Mammal,90.55077362060547,94.0170669555664,93.99748992919922,93.00161743164062,99.47684478759766,97.378662109375,92.90814208984375,93.59938049316406,87.69747924804688,88.52914428710938,90.56319427490234,92.91451263427734,95.27540588378906,93.84614562988281,93.15943145751953,96.26356506347656,92.3816909790039,91.09719848632812,98.73143768310547,97.5729751586914
Dog,88.37498474121094,84.05551147460938,93.62459564208984,91.9156265258789,92.28954315185547,97.378662109375,92.4537353515625,59.073516845703125,87.58010864257812,82.74819946289062,90.01213073730469,91.90935516357422,94.0873794555664,92.79828643798828,92.28173828125,81.39676666259766,92.3816909790039,90.0522689819336,98.73143768310547,97.5729751586914
Eskimo Dog,85.12480163574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,56.96523666381836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,56.18264389038086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.65092849731445,0.0,0.0,0.0
Diaper,0.0,99.75222778320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,93.69446563720703,0.0,79.86236572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.00265121459961,0.0,0.0,0.0,0.0,79.54702758789062,0.0,0.0
