,보르조이_1,보르조이_2,보르조이_3,보르조이_4,보르조이_5,보르조이_6,보르조이_7,보르조이_8,보르조이_9,보르조이_10,보르조이_11,보르조이_12,보르조이_13,보르조이_14,보르조이_15,보르조이_16,보르조이_17,보르조이_18,보르조이_19,보르조이_20
Hound,93.96006774902344,62.05525207519531,0.0,80.19190979003906,57.1110954284668,85.62216186523438,0.0,0.0,0.0,0.0,99.98926544189453,0.0,91.11524963378906,0.0,82.9646987915039,73.14110565185547,87.03651428222656,62.02656936645508,99.8819808959961,82.05133056640625
Dog,93.96006774902344,87.90562438964844,89.06198120117188,98.43301391601562,79.42717742919922,96.26522064208984,85.37335968017578,98.47220611572266,56.7451171875,0.0,99.98926544189453,89.24315643310547,91.11524963378906,77.91780853271484,86.17695617675781,82.6268310546875,94.22034454345703,62.02656936645508,99.8819808959961,87.06794738769531
Mammal,93.96006774902344,92.3243408203125,90.47599029541016,98.43301391601562,95.9240951538086,96.26522064208984,85.93938446044922,98.47220611572266,83.26009368896484,0.0,99.98926544189453,91.03289031982422,91.11524963378906,91.93502807617188,89.38968658447266,85.91658782958984,95.90365600585938,79.28660583496094,99.8819808959961,89.27804565429688
Pet,93.96006774902344,89.58515930175781,89.06198120117188,98.43301391601562,81.3257064819336,96.26522064208984,85.37335968017578,98.47220611572266,70.72674560546875,0.0,99.98926544189453,91.0068130493164,91.11524963378906,91.05187225341797,86.17695617675781,84.6314926147461,95.84722900390625,74.74742126464844,99.8819808959961,88.20711517333984
Animal,93.96006774902344,92.95196533203125,90.47599029541016,98.43301391601562,95.9240951538086,96.26522064208984,85.93938446044922,98.47220611572266,85.16655731201172,0.0,99.98926544189453,91.03289031982422,91.11524963378906,91.93502807617188,89.38968658447266,85.91658782958984,95.90365600585938,79.28660583496094,99.8819808959961,89.27804565429688
Canine,93.96006774902344,90.61722564697266,90.47599029541016,98.43301391601562,79.7156753540039,96.26522064208984,85.93938446044922,98.47220611572266,80.3431396484375,0.0,99.98926544189453,91.03289031982422,91.11524963378906,91.93502807617188,86.17695617675781,85.91658782958984,95.90365600585938,79.28660583496094,99.8819808959961,89.27804565429688
Grass,61.42489242553711,99.3212661743164,0.0,85.55380249023438,0.0,0.0,0.0,69.89339447021484,0.0,0.0,0.0,0.0,0.0,63.52545928955078,0.0,0.0,83.49080657958984,0.0,0.0,0.0
Plant,61.42489242553711,99.3212661743164,0.0,85.55380249023438,0.0,0.0,0.0,69.89339447021484,65.76081085205078,0.0,0.0,0.0,80.3985366821289,63.52545928955078,0.0,0.0,83.49080657958984,63.89117431640625,0.0,0.0
Great Dane,0.0,87.2516098022461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green,0.0,61.114898681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,60.821529388427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,60.59169006347656,0.0,0.0,95.9240951538086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antelope,0.0,60.59169006347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,0.0,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,0.0,59.479942321777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,56.57111740112305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,79.0142593383789,0.0,0.0,0.0,0.0,95.62720489501953,0.0,0.0,0.0,74.17657470703125,0.0,74.55078125,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,59.537437438964844,0.0,0.0,0.0,0.0,80.31336212158203,0.0,0.0,0.0,74.17657470703125,0.0,67.1754379272461,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,56.84960174560547,57.48714065551758,0.0,0.0,0.0,0.0,0.0,0.0,73.18083953857422,56.032981872558594,77.91780853271484,0.0,0.0,57.69602966308594,0.0,0.0,61.85072326660156
Golden Retriever,0.0,0.0,0.0,55.72087860107422,59.30717468261719,94.60421752929688,0.0,96.5584487915039,0.0,0.0,0.0,0.0,65.15496826171875,0.0,0.0,56.465877532958984,55.72162628173828,0.0,0.0,0.0
Lion,0.0,0.0,0.0,0.0,95.9240951538086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,55.51060104370117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.54731750488281,0.0,0.0,0.0,55.8943977355957
Husky,0.0,0.0,0.0,0.0,0.0,0.0,85.37335968017578,0.0,56.7451171875,0.0,0.0,81.23583221435547,0.0,76.73909759521484,0.0,0.0,0.0,59.31257247924805,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,78.43575286865234,0.0,99.80442810058594,0.0,70.57135772705078,0.0,0.0,60.01667404174805,0.0,0.0,0.0,99.40143585205078,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,78.43575286865234,0.0,99.80442810058594,0.0,70.57135772705078,0.0,0.0,60.01667404174805,0.0,0.0,0.0,99.40143585205078,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,75.13494110107422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.22181701660156,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,71.7559585571289,0.0,72.77301788330078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.97084045410156,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,60.19810485839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,56.968536376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.90121078491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.61188507080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.34654235839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.3227767944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.3227767944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.3227767944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0787582397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blonde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0787582397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0787582397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0787582397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0787582397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Child,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0787582397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0787582397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.72270202636719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shorts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.63521575927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.76081085205078,0.0,0.0,0.0,74.17657470703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.76081085205078,0.0,0.0,0.0,80.3985366821289,0.0,0.0,0.0,0.0,63.89117431640625,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.76081085205078,0.0,0.0,0.0,74.17657470703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.76081085205078,0.0,0.0,0.0,74.17657470703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.76081085205078,0.0,0.0,0.0,74.17657470703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.20090103149414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walkway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.86026382446289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.07163619995117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.07163619995117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.31623077392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.31623077392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
