,그레이트 피레니즈_1,그레이트 피레니즈_2,그레이트 피레니즈_3,그레이트 피레니즈_4,그레이트 피레니즈_5,그레이트 피레니즈_6,그레이트 피레니즈_7,그레이트 피레니즈_8,그레이트 피레니즈_9,그레이트 피레니즈_10,그레이트 피레니즈_11,그레이트 피레니즈_12,그레이트 피레니즈_13,그레이트 피레니즈_14,그레이트 피레니즈_15,그레이트 피레니즈_16,그레이트 피레니즈_17,그레이트 피레니즈_18,그레이트 피레니즈_19,그레이트 피레니즈_20
Dog,97.43435668945312,89.06198120117188,73.39082336425781,93.38189697265625,94.76424407958984,87.91770935058594,99.62686920166016,93.18842315673828,95.56775665283203,93.10364532470703,93.55794525146484,95.46702575683594,93.93001556396484,90.46249389648438,94.91668701171875,88.96786499023438,79.28593444824219,82.16767120361328,94.64177703857422,94.6876449584961
Golden Retriever,97.43435668945312,0.0,0.0,0.0,0.0,56.027042388916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.28593444824219,62.225685119628906,63.604270935058594,94.6876449584961
Canine,97.43435668945312,90.47599029541016,91.41436004638672,95.61468505859375,95.14421844482422,92.44670867919922,99.62686920166016,93.18842315673828,95.56775665283203,93.94086456298828,94.63438415527344,95.46702575683594,94.4193344116211,91.92868041992188,94.91668701171875,90.6356430053711,85.53944396972656,91.26510620117188,94.64177703857422,94.6876449584961
Pet,97.43435668945312,89.06198120117188,87.57897186279297,94.15010833740234,95.0047836303711,90.67292022705078,99.62686920166016,93.18842315673828,95.56775665283203,93.10364532470703,93.55794525146484,95.46702575683594,94.6353759765625,92.42539978027344,94.91668701171875,89.02677917480469,84.56668090820312,89.8387680053711,94.64177703857422,94.6876449584961
Mammal,97.43435668945312,90.47599029541016,91.41436004638672,95.61468505859375,95.14421844482422,92.44670867919922,99.62686920166016,93.18842315673828,98.62224578857422,94.14132690429688,94.63438415527344,95.46702575683594,94.4193344116211,93.69310760498047,94.91668701171875,90.6356430053711,85.53944396972656,91.26510620117188,94.64177703857422,94.6876449584961
Animal,97.43435668945312,90.47599029541016,94.5096435546875,95.61468505859375,95.14421844482422,92.44670867919922,99.62686920166016,93.18842315673828,98.62224578857422,94.14132690429688,94.63438415527344,95.46702575683594,94.6353759765625,94.5009765625,94.91668701171875,90.6356430053711,85.53944396972656,91.26510620117188,94.64177703857422,94.6876449584961
Bonfire,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flame,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,57.98569107055664,56.57111740112305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4272232055664,93.55794525146484,0.0,0.0,89.81087493896484,0.0,0.0,0.0,80.40939331054688,0.0,90.16910552978516
Furniture,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,59.479942321777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,99.66033935546875,0.0,0.0,73.5995101928711,0.0,99.03010559082031,0.0,0.0,87.85253143310547,0.0,0.0,0.0,0.0,82.53257751464844,98.05899047851562,0.0,0.0,0.0
Person,0.0,0.0,99.66033935546875,0.0,0.0,73.5995101928711,0.0,99.03010559082031,0.0,0.0,87.85253143310547,0.0,0.0,0.0,0.0,82.53257751464844,98.05899047851562,0.0,0.0,0.0
Pants,0.0,0.0,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,91.94225311279297,0.0,0.0,0.0,0.0,98.45454406738281,0.0,0.0,55.189701080322266,85.8331298828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,91.94225311279297,0.0,0.0,0.0,0.0,98.45454406738281,0.0,0.0,55.189701080322266,85.8331298828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,73.39082336425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,62.889530181884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,55.30937957763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,0.0,89.8036880493164,90.60264587402344,0.0,71.10917663574219,63.47969055175781,72.99984741210938,61.92808151245117,66.20313262939453,74.24014282226562,77.56755065917969,0.0,0.0,58.312828063964844,0.0,0.0,0.0,59.32324981689453
Nature,0.0,0.0,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59495544433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59495544433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
