,에어데일 테리어_1,에어데일 테리어_2,에어데일 테리어_3,에어데일 테리어_4,에어데일 테리어_5,에어데일 테리어_6,에어데일 테리어_7,에어데일 테리어_8,에어데일 테리어_9,에어데일 테리어_10,에어데일 테리어_11,에어데일 테리어_12,에어데일 테리어_13,에어데일 테리어_14,에어데일 테리어_15,에어데일 테리어_16,에어데일 테리어_17,에어데일 테리어_18,에어데일 테리어_19,에어데일 테리어_20
Animal,95.80868530273438,97.19768524169922,92.65850067138672,98.91753387451172,99.05718231201172,99.43850708007812,99.56572723388672,99.80220031738281,95.3851547241211,99.82288360595703,92.3769760131836,84.74945831298828,97.79157257080078,99.32674407958984,94.86368560791016,98.88899993896484,96.1493911743164,98.99703216552734,99.12472534179688,99.11962890625
Canine,94.3227767944336,97.19768524169922,91.08151245117188,98.91753387451172,99.05718231201172,99.43850708007812,99.56572723388672,99.80220031738281,95.3851547241211,99.82288360595703,67.9610824584961,0.0,97.79157257080078,99.32674407958984,94.27874755859375,98.88899993896484,94.90980529785156,98.99703216552734,99.12472534179688,99.11962890625
Mammal,94.3227767944336,97.19768524169922,91.5733642578125,98.91753387451172,99.05718231201172,99.43850708007812,99.56572723388672,99.80220031738281,95.3851547241211,99.82288360595703,92.3769760131836,83.0473403930664,97.79157257080078,99.32674407958984,94.27874755859375,98.88899993896484,94.90980529785156,98.99703216552734,99.12472534179688,99.11962890625
Pet,93.40499114990234,97.19768524169922,86.85751342773438,98.91753387451172,99.05718231201172,99.43850708007812,99.56572723388672,99.80220031738281,94.62298583984375,99.82288360595703,73.09943389892578,0.0,97.79157257080078,99.32674407958984,94.86368560791016,98.88899993896484,95.84454345703125,98.99703216552734,99.12472534179688,99.11962890625
Dog,91.85913848876953,97.19768524169922,84.62235260009766,98.91753387451172,99.05718231201172,99.43850708007812,99.56572723388672,99.80220031738281,94.08160400390625,99.82288360595703,62.024497985839844,0.0,97.79157257080078,99.32674407958984,94.27874755859375,98.88899993896484,94.70472717285156,98.99703216552734,99.12472534179688,99.11962890625
Terrier,85.38787841796875,0.0,0.0,98.91753387451172,99.05718231201172,99.43850708007812,99.56572723388672,99.80220031738281,88.11505126953125,99.82288360595703,0.0,0.0,97.79157257080078,99.32674407958984,94.27874755859375,98.88899993896484,94.70472717285156,98.99703216552734,99.12472534179688,99.11962890625
Nature,71.34325408935547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,71.34325408935547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,71.34325408935547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,71.34325408935547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
