,잉글리시 코커 스패니얼_1,잉글리시 코커 스패니얼_2,잉글리시 코커 스패니얼_3,잉글리시 코커 스패니얼_4,잉글리시 코커 스패니얼_5,잉글리시 코커 스패니얼_6,잉글리시 코커 스패니얼_7,잉글리시 코커 스패니얼_8,잉글리시 코커 스패니얼_9,잉글리시 코커 스패니얼_10,잉글리시 코커 스패니얼_11,잉글리시 코커 스패니얼_12,잉글리시 코커 스패니얼_13,잉글리시 코커 스패니얼_14,잉글리시 코커 스패니얼_15,잉글리시 코커 스패니얼_16,잉글리시 코커 스패니얼_17,잉글리시 코커 스패니얼_18,잉글리시 코커 스패니얼_19,잉글리시 코커 스패니얼_20
Golden Retriever,97.43425750732422,0.0,0.0,57.59946060180664,0.0,0.0,96.8043212890625,0.0,0.0,92.78701782226562,0.0,0.0,0.0,80.56880187988281,0.0,69.32129669189453,0.0,0.0,97.85082244873047,0.0
Mammal,97.43425750732422,97.8748779296875,90.47599029541016,95.2116928100586,99.55172729492188,99.54430389404297,99.59272003173828,98.70734405517578,97.18223571777344,94.14675903320312,99.59451293945312,99.5465316772461,93.36184692382812,88.9273681640625,97.9986572265625,92.65388488769531,87.81620788574219,94.83478546142578,97.85082244873047,94.88542938232422
Dog,97.43425750732422,97.8748779296875,89.06198120117188,95.13818359375,99.55172729492188,99.54430389404297,99.59272003173828,98.70734405517578,97.18223571777344,94.14675903320312,99.59451293945312,99.5465316772461,91.72527313232422,84.19709777832031,97.9986572265625,91.23362731933594,86.58274841308594,93.40782928466797,97.85082244873047,89.70022583007812
Canine,97.43425750732422,97.8748779296875,90.47599029541016,95.2116928100586,99.55172729492188,99.54430389404297,99.59272003173828,98.70734405517578,97.18223571777344,94.14675903320312,99.59451293945312,99.5465316772461,93.36184692382812,88.2859878540039,97.9986572265625,92.65388488769531,87.81620788574219,94.83478546142578,97.85082244873047,94.88542938232422
Animal,97.43425750732422,97.8748779296875,90.47599029541016,95.2116928100586,99.55172729492188,99.54430389404297,99.59272003173828,98.70734405517578,97.18223571777344,94.14675903320312,99.59451293945312,99.5465316772461,93.36184692382812,88.9273681640625,97.9986572265625,92.65388488769531,89.1304702758789,94.83478546142578,97.85082244873047,94.88542938232422
Pet,97.43425750732422,97.8748779296875,89.06198120117188,95.13818359375,99.55172729492188,99.54430389404297,99.59272003173828,98.70734405517578,97.18223571777344,94.14675903320312,99.59451293945312,99.5465316772461,92.20782470703125,84.19709777832031,97.9986572265625,92.20721435546875,89.1304702758789,93.75284576416016,97.85082244873047,94.05935668945312
Flame,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonfire,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,57.98565673828125,97.8748779296875,56.57111740112305,0.0,0.0,0.0,0.0,98.01342010498047,0.0,60.21391296386719,0.0,88.72944641113281,0.0,60.013614654541016,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,58.022769927978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,55.9917106628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,0.0,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,0.0,59.479942321777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,94.09896850585938,96.74449920654297,91.04427337646484,85.23377227783203,75.7930908203125,95.75777435302734,57.36668395996094,94.777099609375,92.45978546142578,75.37108612060547,0.0,0.0,59.65534591674805,0.0,93.2961196899414,58.133445739746094,89.70022583007812
Cocker Spaniel,0.0,0.0,0.0,94.09896850585938,96.74449920654297,91.04427337646484,85.23377227783203,75.7930908203125,95.75777435302734,57.36668395996094,94.777099609375,92.45978546142578,75.37108612060547,0.0,0.0,59.65534591674805,0.0,93.2961196899414,58.133445739746094,89.70022583007812
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.454833984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.62657928466797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.58780670166016,0.0,0.0,0.0,97.9986572265625,77.3580322265625,81.72053527832031,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.70677947998047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
