,스무드 폭스 테리어_1,스무드 폭스 테리어_2,스무드 폭스 테리어_3,스무드 폭스 테리어_4,스무드 폭스 테리어_5,스무드 폭스 테리어_6,스무드 폭스 테리어_7,스무드 폭스 테리어_8,스무드 폭스 테리어_9,스무드 폭스 테리어_10,스무드 폭스 테리어_11,스무드 폭스 테리어_12,스무드 폭스 테리어_13,스무드 폭스 테리어_14,스무드 폭스 테리어_15,스무드 폭스 테리어_16,스무드 폭스 테리어_17,스무드 폭스 테리어_18,스무드 폭스 테리어_19,스무드 폭스 테리어_20
Mammal,92.3769760131836,93.99748992919922,75.75970458984375,98.81586456298828,99.19969177246094,94.45470428466797,98.73143768310547,98.94365692138672,94.32274627685547,95.32557678222656,83.0473403930664,92.78848266601562,94.11280822753906,93.44686889648438,93.35296630859375,95.9847640991211,66.96424865722656,0.0,88.7886734008789,89.76636505126953
Animal,92.3769760131836,95.21717071533203,76.0997543334961,98.81586456298828,99.19969177246094,94.49856567382812,98.73143768310547,98.94365692138672,95.80866241455078,95.45077514648438,84.74945831298828,92.78848266601562,94.11280822753906,93.99254608154297,93.35296630859375,95.9847640991211,67.7020034790039,0.0,88.7886734008789,89.91532135009766
Pet,73.09943389892578,95.21717071533203,73.49170684814453,98.81586456298828,99.19969177246094,94.49856567382812,98.73143768310547,98.94365692138672,93.40504455566406,95.45077514648438,0.0,91.837158203125,93.36895751953125,93.99254608154297,93.06095886230469,95.9847640991211,67.7020034790039,0.0,87.63214874267578,89.91532135009766
Canine,67.9610824584961,93.99748992919922,75.75970458984375,98.81586456298828,99.19969177246094,94.45470428466797,98.73143768310547,98.94365692138672,94.32274627685547,95.32557678222656,0.0,92.78848266601562,94.11280822753906,93.44686889648438,93.35296630859375,95.9847640991211,66.96424865722656,0.0,88.7886734008789,89.76636505126953
Dog,62.024497985839844,93.62459564208984,67.1588363647461,98.81586456298828,99.19969177246094,93.37705993652344,98.73143768310547,98.94365692138672,91.85913848876953,95.15625762939453,0.0,90.90535736083984,93.36895751953125,93.44686889648438,92.2857437133789,95.9847640991211,64.22505187988281,0.0,86.88226318359375,87.99864196777344
Hound,57.67456817626953,0.0,59.76441192626953,97.41307830810547,0.0,74.68150329589844,0.0,98.94365692138672,0.0,95.15625762939453,0.0,56.71958541870117,59.36252212524414,86.83807373046875,0.0,95.9847640991211,0.0,0.0,0.0,78.51083374023438
Terrier,0.0,78.8932876586914,0.0,0.0,0.0,0.0,0.0,0.0,85.38751983642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.65819549560547,0.0
Puppy,0.0,75.2303466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.86656188964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,57.83012390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,56.7122917175293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
