,아메리칸 코커 스패니얼_1,아메리칸 코커 스패니얼_2,아메리칸 코커 스패니얼_3,아메리칸 코커 스패니얼_4,아메리칸 코커 스패니얼_5,아메리칸 코커 스패니얼_6,아메리칸 코커 스패니얼_7,아메리칸 코커 스패니얼_8,아메리칸 코커 스패니얼_9,아메리칸 코커 스패니얼_10,아메리칸 코커 스패니얼_11,아메리칸 코커 스패니얼_12,아메리칸 코커 스패니얼_13,아메리칸 코커 스패니얼_14,아메리칸 코커 스패니얼_15,아메리칸 코커 스패니얼_16,아메리칸 코커 스패니얼_17,아메리칸 코커 스패니얼_18,아메리칸 코커 스패니얼_19,아메리칸 코커 스패니얼_20
Cocker Spaniel,92.63214111328125,0.0,0.0,0.0,95.08901977539062,95.92432403564453,95.29792785644531,64.60403442382812,0.0,75.37108612060547,88.07344055175781,93.48583221435547,69.6054916381836,73.55305480957031,0.0,97.97550964355469,97.77657318115234,93.77630615234375,88.37718963623047,97.49591827392578
Canine,92.63214111328125,97.99864959716797,97.43425750732422,97.8748779296875,98.71903228759766,95.92432403564453,99.57725524902344,98.35411834716797,88.2859878540039,93.36184692382812,95.2787857055664,98.59326934814453,90.44132995605469,91.65775299072266,96.25895690917969,97.97550964355469,97.77657318115234,94.44160461425781,92.90653991699219,97.49591827392578
Animal,92.63214111328125,97.99864959716797,97.43425750732422,97.8748779296875,98.71903228759766,95.92432403564453,99.57725524902344,98.35411834716797,88.9273681640625,93.36184692382812,95.2787857055664,98.59326934814453,90.44132995605469,91.65775299072266,96.25895690917969,97.97550964355469,97.77657318115234,94.44160461425781,92.90653991699219,97.49591827392578
Spaniel,92.63214111328125,0.0,0.0,0.0,95.08901977539062,95.92432403564453,95.29792785644531,64.60403442382812,0.0,75.37108612060547,88.07344055175781,93.48583221435547,69.6054916381836,73.55305480957031,0.0,97.97550964355469,97.77657318115234,93.77630615234375,88.37718963623047,97.49591827392578
Mammal,92.63214111328125,97.99864959716797,97.43425750732422,97.8748779296875,98.71903228759766,95.92432403564453,99.57725524902344,98.35411834716797,88.9273681640625,93.36184692382812,95.2787857055664,98.59326934814453,90.44132995605469,91.65775299072266,96.25895690917969,97.97550964355469,97.77657318115234,94.44160461425781,92.90653991699219,97.49591827392578
Dog,92.63214111328125,97.99864959716797,97.43425750732422,97.8748779296875,98.71903228759766,95.92432403564453,99.57725524902344,98.35411834716797,84.19709777832031,91.72527313232422,94.47730255126953,98.59326934814453,88.30734252929688,89.92754364013672,96.25895690917969,97.97550964355469,97.77657318115234,93.77630615234375,91.82792663574219,97.49591827392578
Pet,92.63214111328125,97.99864959716797,97.43425750732422,97.8748779296875,98.71903228759766,95.92432403564453,99.57725524902344,98.35411834716797,84.19709777832031,92.20782470703125,94.47730255126953,98.59326934814453,89.44956970214844,89.92754364013672,96.25895690917969,97.97550964355469,97.77657318115234,93.77630615234375,91.82792663574219,97.49591827392578
Human,75.25627899169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.43478393554688,0.0,0.0,0.0,0.0,0.0
Person,75.25627899169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.43478393554688,0.0,0.0,0.0,0.0,0.0
Hound,0.0,97.99864959716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.25895690917969,0.0,0.0,75.1792984008789,0.0,0.0
Beagle,0.0,92.60521697998047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,76.81177520751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,76.81177520751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,97.43425750732422,0.0,0.0,0.0,0.0,0.0,80.56880187988281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonfire,0.0,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flame,0.0,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire,0.0,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
