,비숑 프리제_1,비숑 프리제_2,비숑 프리제_3,비숑 프리제_4,비숑 프리제_5,비숑 프리제_6,비숑 프리제_7,비숑 프리제_8,비숑 프리제_9,비숑 프리제_10,비숑 프리제_11,비숑 프리제_12,비숑 프리제_13,비숑 프리제_14,비숑 프리제_15,비숑 프리제_16,비숑 프리제_17,비숑 프리제_18,비숑 프리제_19,비숑 프리제_20
Dog,96.69208526611328,94.04177856445312,97.8748779296875,96.23704528808594,88.1593017578125,95.1777572631836,95.64147186279297,93.58003997802734,98.60060119628906,96.00178527832031,92.08695983886719,98.86614990234375,78.3260726928711,94.17627716064453,95.12774658203125,60.97793960571289,89.37212371826172,88.74942016601562,92.27193450927734,89.9917221069336
Puppy,96.69208526611328,94.04177856445312,97.8748779296875,96.23704528808594,88.1593017578125,95.1777572631836,68.57586669921875,0.0,98.60060119628906,84.63679504394531,92.08695983886719,98.86614990234375,0.0,91.19881439208984,0.0,55.482696533203125,78.01393127441406,0.0,79.11101531982422,0.0
Mammal,96.69208526611328,94.04177856445312,97.8748779296875,96.23704528808594,88.89218139648438,95.1777572631836,95.64147186279297,93.58003997802734,98.60060119628906,96.00178527832031,92.90841674804688,98.86614990234375,78.3260726928711,94.44534301757812,95.12774658203125,86.06777954101562,92.49691772460938,91.59648132324219,92.29287719726562,91.27877807617188
Pet,96.69208526611328,94.04177856445312,97.8748779296875,96.23704528808594,89.01092529296875,95.1777572631836,95.64147186279297,93.58003997802734,98.60060119628906,96.00178527832031,92.17899322509766,98.86614990234375,78.3260726928711,94.48030090332031,95.12774658203125,67.95571899414062,89.37212371826172,89.85430908203125,92.27193450927734,89.9917221069336
Animal,96.69208526611328,94.04177856445312,97.8748779296875,96.23704528808594,89.01092529296875,95.1777572631836,95.64147186279297,93.58003997802734,98.60060119628906,96.00178527832031,92.90841674804688,98.86614990234375,78.3260726928711,94.48030090332031,95.12774658203125,91.40962982177734,92.62468719482422,91.59648132324219,92.29287719726562,91.27877807617188
Canine,96.69208526611328,94.04177856445312,97.8748779296875,96.23704528808594,88.40625762939453,95.1777572631836,95.64147186279297,93.58003997802734,98.60060119628906,96.00178527832031,92.90841674804688,98.86614990234375,78.3260726928711,94.44534301757812,95.12774658203125,82.80189514160156,89.37212371826172,90.48792266845703,92.29287719726562,91.27877807617188
Grass,0.0,96.4708251953125,0.0,0.0,0.0,0.0,0.0,0.0,66.34632873535156,0.0,0.0,0.0,0.0,0.0,93.90556335449219,0.0,0.0,0.0,0.0,0.0
Plant,0.0,96.4708251953125,0.0,0.0,66.03130340576172,0.0,0.0,0.0,66.34632873535156,0.0,0.0,0.0,0.0,0.0,93.90556335449219,0.0,0.0,0.0,90.2405776977539,0.0
Snow,0.0,72.94161224365234,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.12799835205078,88.27066040039062,0.0,0.0,90.7579574584961
Outdoors,0.0,72.94161224365234,96.44064331054688,0.0,76.86526489257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.16606521606445,0.0,83.12799835205078,88.27066040039062,0.0,0.0,90.7579574584961
Winter,0.0,72.94161224365234,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.12799835205078,88.27066040039062,0.0,0.0,90.7579574584961
Nature,0.0,72.94161224365234,96.44064331054688,0.0,64.58527374267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.12799835205078,88.27066040039062,0.0,0.0,90.7579574584961
Snowman,0.0,72.94161224365234,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.12799835205078,88.27066040039062,0.0,0.0,90.7579574584961
Yard,0.0,60.98513412475586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,58.022769927978516,0.0,59.48133087158203,59.48439407348633,89.45243835449219,0.0,79.35601043701172,67.37751770019531,80.35299682617188,73.03323364257812,0.0,94.17627716064453,0.0,0.0,89.37212371826172,0.0,59.574954986572266,58.187774658203125
Eskimo Dog,0.0,0.0,55.9917106628418,61.23329162597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,94.6942138671875,0.0,0.0,0.0,77.9216079711914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,71.2034683227539,0.0,0.0,0.0,0.0,0.0,74.02082824707031,0.0,0.0,65.06890869140625,0.0,57.70476150512695,75.383544921875,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,71.2034683227539,0.0,0.0,0.0,0.0,0.0,74.02082824707031,0.0,0.0,65.06890869140625,0.0,0.0,59.50373077392578,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,99.47065734863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,99.47065734863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,96.21847534179688,0.0,55.797279357910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,85.65192413330078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,57.70663070678711,66.3037109375,79.54696655273438,63.00663375854492,96.00178527832031,81.96044921875,59.84490966796875,0.0,83.6282958984375,0.0,0.0,0.0,86.56534576416016,89.59931182861328,82.61474609375
Plush,0.0,0.0,0.0,0.0,0.0,0.0,77.88410949707031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,0.0,0.0,77.88410949707031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.91395568847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.91395568847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.31373596191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.32707977294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.432456970214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flooring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.547027587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.40422439575195,0.0,55.90798568725586,0.0,63.61457061767578,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.17709350585938,0.0,0.0,90.28238677978516,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.17709350585938,0.0,0.0,90.28238677978516,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1376724243164,0.0,73.1033935546875,0.0,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.54684448242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99797821044922,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99797821044922,0.0,0.0,0.0,0.0,0.0
Footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.86332702636719,0.0,0.0,0.0,0.0,0.0
Shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.78182983398438,0.0,0.0,0.0,0.0,0.0
Running Shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2435531616211,0.0,0.0,0.0,0.0,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.39696502685547,0.0,0.0,0.0,0.0,0.0
